Cities ,pop_area,tour_inf,nhwhite,gdp_per_capital,crime_avg,employ_avg,pov_avg ,pov_over10,basketball,lon_trm,football,land_locked
New York City ,"27,747.90","60,000,000",0.69,"100,806.00",0.38,0.60,0.23,1,1,49.20,1,0
San Fransisco,"18,790.80","25,000,000",0.58,"144,633.00",0.67,0.66,10.4,1,1,38.50,1,0
Chicago,"11,846.50","50,000,000",0.69,"80,468.00",0.05,0.64,17.2,1,1,34.00,1,0
Philadelphia,"11,796.80","42,900,000",0.66,"76,675.00",0.54,0.60,0.23,1,1,34.20,1,0
Los Angeles,"8,476.40","22,000,000",0.75,"86,532.00",0.08,0.68,0.12,1,1,47.00,1,0
Oklahoma City,"1,080.30","23,200,000",0.19,"60,113.00",0.37,0.64,0.15,1,1,50.19,0,1
Boston,"14,362.60","22,700,000",0.51,"108,506.00",0.26,0.68,0.17,1,1,59.90,0,0
Jacksonville,"1,219.80","22,000,000",0.47,"61,897.00",0.64,0.61,0.12,1,0,82.00,1,0
Kansas City,"1,574.00","24,500,000",0.41,"70,165.00",0.48,0.66,0.14,1,0,63.00,1,1
Dallas,"3,841.00","25,000,000",0.52,"77,109.00",0.46,0.67,0.14,1,1,45.90,1,1
Washington D.C.,"11,545.90","25,950,000",0.60,"95,593.00",0.60,0.73,0.13,1,1,60.10,1,0
Phoenix,"3,105.00","46,700,000",0.41,"63,906.00",0.33,0.66,0.15,1,1,53.70,1,1
Austin,"3,007.00","27,400,000",0.37,"82,372.00",0.42,0.73,0.12,1,1,41.20,0,0
Seattle ,"8,973.00","33,300,000",0.36,"119,646.00",0.66,0.72,0.11,1,0,53.90,1,0
Miami,"13,000.50","4,700,000",0.53,"68,477.00",0.30,0.65,0.20,1,1,52.70,1,0
Nashville,"1,405.90","16,800,000",0.37,"81,010.00",0.50,0.47,0.15,1,0,47.80,1,1
Detroit,"4,608.00","19,000,000",0.88,"64,982.00",0.66,0.49,0.34,1,1,74.30,1,0
Atlanta,"3,686.00","1,700,000",0.59,"77,119.00",0.48,0.66,0.18,1,1,64.00,1,1
Memphis,"2,192.40","30,600,000",0.74,"64,735.00",0.98,0.60,0.21,1,1,76.50,0,0
Baltimore,"7,240.00","2,670,000",0.72,"78,556.00",0.48,0.61,0.20,1,0,74.70,1,0
New Orleans,"2,301.90","1,975,000",0.68,"64,855.00",0.61,0.58,0.23,1,1,67.40,1,0
San Antonio,"2,875.90","41,000,000",0.56,"55,494.00",0.88,0.62,0.14,1,1,54.20,0,0
San Diego,"4,255.90","35,000,000",0.51,"81,548.00",0.19,0.63,0.09,0,0,64.00,0,0
Fort Worth,"2,166.00","10,800,000",0.55,"77,109.00",0.50,0.66,0.12,1,0,54.60,0,0
San Jose ,"5,684.50","5,000,000",0.73,"210,235.00",0.53,0.65,0.09,0,0,56.50,0,1
Charlotte,"2,720.00","31,000,000",0.58,"76,958.00",0.42,0.70,0.10,1,1,60.80,1,1
Columbus ,"4,116.30","43,000,000",0.47,"71,831.00",0.37,0.68,0.13,1,0,59.80,0,0
Indianapolis,"2,428.30","29,200,000",0.48,"76,200.00",0.44,0.67,0.15,1,1,54.30,1,0
Denver,"4,674.00","17,700,000",0.39,"85,246.00",0.74,0.72,0.08,0,1,45.90,1,1
El Paso,"2,626.69","2,300,000",0.64,"43,050.00",0.20,0.58,0.20,1,0,54.60,0,0
Las Vegas,"4,376.00","42,000,000",0.54,"59,411.00",0.49,0.60,0.12,1,1,48.80,1,0
Portland,"4,740.00","12,100,000",0.31,"74,283.00",0.29,0.68,0.11,1,1,67.80,0,0
Houston,"3,339.80","51,000,000",0.68,"74,522.00",0.27,0.64,0.14,1,1,41.10,1,0
